timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
5696527845,5696527511,0.0019999985,1.4942743e-09,0.0020000008,4.5730355e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696529052,5696528753,0.0020000006,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696535288,5696534996,0.0020000003,1.2903429e-09,0.001999999,4.777549e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696539034,5696538741,0.0019999985,3.0069123e-09,0.0019999992,5.334207e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696544015,5696543735,0.002,7.365335e-10,0.0019999994,5.614193e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696549020,5696548728,0.0020000003,1.201792e-09,0.0019999992,6.0169907e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696554038,5696553722,0.002000002,1.5796796e-09,0.0019999968,6.4791245e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696560239,5696559964,0.002,2.6970892e-10,0.0019999999,6.7774536e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696564003,5696563710,0.0020000003,9.5223704e-11,0.0020000003,6.6397035e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696570237,5696569952,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696573987,5696573697,0.0019999987,1.49228e-09,0.0020000008,6.5673517e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696581481,5696581188,0.0020000024,2.0737752e-09,0.0019999966,7.1487356e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696583977,5696583686,0.0020000003,9.021804e-10,0.0019999994,3.8346496e-14,nan,nan,nan,nan,nan,nan,nan,nan,0
5696591470,5696591178,0.0020000022,2.24064e-09,0.0019999961,3.5514647e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5696595210,5696594921,0.0020000003,6.4000977e-10,0.0019999999,2.7452086e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5696598965,5696598669,0.0019999985,1.6443059e-09,0.0020000008,6.055269e-14,nan,nan,nan,nan,nan,nan,nan,nan,0
5696605209,5696604908,0.0019999982,2.1245548e-09,0.002,2.4902823e-14,nan,nan,nan,nan,nan,nan,nan,nan,0
5696608951,5696608654,0.0020000022,1.804164e-09,0.0019999966,2.734102e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5696612681,5696612399,0.0020000003,1.0475353e-09,0.0019999994,2.025771e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5696618927,5696618641,0.0020000003,3.1975853e-10,0.0019999999,3.8360677e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5696622676,5696622387,0.0020000003,4.505038e-10,0.0019999999,6.0556204e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5696630160,5696629877,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696633915,5696633623,0.0020000022,1.933842e-09,0.0019999966,1.5626445e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696640136,5696639865,0.0020000003,3.257938e-10,0.002,1.6242905e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696643887,5696643610,0.0020000006,2.0224819e-10,0.0020000003,1.478621e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696651380,5696651101,0.002000002,3.1129672e-09,0.0019999952,1.1426472e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696653893,5696653598,0.0019999985,2.1741708e-09,0.0019999999,1.3404247e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696661380,5696661089,0.0020000003,1.7352667e-10,0.0020000003,1.096321e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696665126,5696664834,0.0020000006,1.1051365e-09,0.0019999992,8.089714e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5696668858,5696668579,0.0019999985,2.4003757e-09,0.0019999999,6.90364e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5696675108,5696674821,0.0020000022,3.128432e-09,0.0019999954,2.2978798e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5696678850,5696678567,0.0020000003,9.387836e-10,0.0019999994,7.0908756e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696683855,5696683561,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696688836,5696688554,0.0020000003,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696693832,5696693548,0.0020000022,2.8607552e-09,0.0019999957,5.97207e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696700071,5696699790,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696703820,5696703536,0.0020000024,2.5404243e-09,0.0019999961,6.160925e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696710051,5696709777,0.0020000003,6.664952e-11,0.0020000003,6.1100595e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696713807,5696713523,0.0019999985,1.5802591e-09,0.0020000006,5.899634e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696721310,5696721014,0.0020000003,3.1485842e-10,0.002,5.283724e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696725050,5696724759,0.0020000003,5.6170557e-10,0.0019999999,5.819124e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696731297,5696731001,0.0020000003,9.520788e-11,0.0020000003,6.6555234e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696735033,5696734746,0.0020000008,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696738838,5696738500,0.0020000003,1.2597976e-09,0.0019999992,6.21908e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696745014,5696744734,0.0020000006,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696748755,5696748482,0.002,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696753752,5696753474,0.0020000022,2.2219064e-09,0.0019999961,4.5366896e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696759995,5696759715,0.0019999985,2.5125972e-09,0.0019999999,4.8841105e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696766235,5696765958,0.0020000003,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696770039,5696769704,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696773731,5696773449,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696779975,5696779691,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696783721,5696783436,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696791215,5696790927,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696794993,5696794672,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696801278,5696800919,0.0020000003,1.1597332e-09,0.001999999,4.419972e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696804950,5696804660,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696808726,5696808406,0.002000002,1.5965316e-09,0.0019999966,4.17906e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696813686,5696813399,0.0020000003,1.1747073e-09,0.001999999,3.9978394e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696818670,5696818392,0.0020000022,1.5529895e-09,0.0019999968,4.0653687e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696823668,5696823388,0.0020000022,1.7564632e-09,0.0019999966,4.3184996e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696829911,5696829628,0.0019999985,2.847977e-09,0.0019999994,4.1984775e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696833671,5696833374,0.0020000003,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696839899,5696839616,0.0020000003,4.912258e-10,0.0019999999,3.5393207e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696843648,5696843362,0.0020000006,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696849880,5696849603,0.0020000003,1.1021779e-09,0.0019999992,3.7676676e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696853624,5696853349,0.0020000003,1.1602104e-09,0.0019999992,3.942885e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696861128,5696860839,0.0019999982,2.7457152e-09,0.0019999994,4.5967856e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696864875,5696864585,0.0020000024,2.483659e-09,0.001999996,4.7184825e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696871107,5696870827,0.0020000003,6.88897e-11,0.0020000003,3.86988e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696874851,5696874573,0.0020000022,2.6887688e-09,0.0019999957,3.3356182e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696878597,5696878318,0.0019999966,3.2126748e-09,0.0020000008,3.2985255e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696883591,5696883315,0.002,1.2331627e-09,0.001999999,3.750073e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696888593,5696888305,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696896075,5696895796,0.0020000022,1.7568478e-09,0.0019999966,3.933946e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696899821,5696899541,0.002,1.3202142e-09,0.001999999,4.0101438e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696903572,5696903287,0.0019999985,1.8297271e-09,0.0020000003,3.8142146e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696909799,5696909529,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696913559,5696913280,0.0020000003,8.1207296e-10,0.0019999994,2.8342866e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696921049,5696920765,0.0019999985,2.5884088e-09,0.0019999994,1.8320848e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696923546,5696923262,0.0019999985,1.5845666e-09,0.0020000006,1.592209e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696931033,5696930752,0.0020000022,1.5125001e-09,0.001999997,8.9904646e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5696934780,5696934498,0.0020000003,9.596152e-10,0.0019999994,8.112122e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5696941014,5696940740,0.002,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696944776,5696944486,0.002000002,1.5410242e-09,0.0019999968,1.478772e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696948527,5696948231,0.002000002,3.0540839e-09,0.0019999952,1.8182964e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696956003,5696955721,0.0019999985,2.8211005e-09,0.0019999994,1.9711385e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696958511,5696958218,0.002000002,1.5552326e-09,0.0019999968,1.822268e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5696963493,5696963212,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696969731,5696969454,0.0020000008,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696975969,5696975696,0.0020000003,6.105804e-10,0.0019999999,6.0001136e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5696979736,5696979442,0.0019999985,1.819e-09,0.0020000003,1.4541417e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5696983478,5696983197,0.0020000003,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696990966,5696990678,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5696994726,5696994423,0.0020000006,5.3861493e-10,0.0019999999,1.43578534e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697000962,5697000665,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697004690,5697004411,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697010930,5697010653,0.0020000003,1.2223434e-09,0.0019999992,1.7443512e-14,nan,nan,nan,nan,nan,nan,nan,nan,0
5697014694,5697014398,0.0020000003,9.460369e-10,0.0019999994,1.4389505e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697018422,5697018144,0.002000002,1.295438e-09,0.001999997,1.4234353e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697023419,5697023137,0.002000002,1.5866398e-09,0.0019999968,1.4070859e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697028420,5697028132,0.0020000003,7.339111e-11,0.0020000003,1.3920382e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697033405,5697033125,0.0020000003,1.5497381e-11,0.0020000003,1.3606449e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697039639,5697039367,0.002000002,2.1113924e-09,0.0019999961,1.318734e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697043462,5697043121,0.0020000003,4.8191123e-10,0.0019999999,1.2853879e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697049630,5697049355,0.0019999982,1.2962847e-09,0.0020000008,1.3387628e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697053383,5697053101,0.0020000024,2.0232602e-09,0.0019999966,1.4007856e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697060866,5697060590,0.0020000003,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
