timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
7468281705,0.0,0.0,29.0,4.0,4.0,0.0,0.0,176,190,1,0,255,1,1
7469040057,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,190,1,1,255,0,1
7487000640,nan,nan,nan,nan,nan,nan,nan,22,1,1,1,1,0,0
7487011112,nan,nan,1.0,0.0,nan,nan,nan,400,1,1,1,1,0,0
7487019722,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,0,1,0,0
7487019725,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
7487019728,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
7507843235,nan,nan,1.0,6.0,nan,nan,nan,176,1,1,1,1,0,0
7523535870,nan,nan,1.0,3.0,nan,nan,nan,176,1,1,1,1,0,0
7538725208,nan,nan,nan,nan,nan,nan,nan,22,1,1,1,1,0,0
7538736163,nan,nan,1.0,0.0,nan,nan,nan,400,1,1,1,1,0,0
7544704561,nan,nan,nan,nan,nan,nan,nan,21,1,1,1,1,0,0
7544717493,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
7544717497,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
7544717499,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
